accident_severity,number_of_casualties,crash_type,driver_alcohol,driver_age,driver_experience,weather_conditions,road_light_condition,traffic_density,road_conditions,time_of_day,road_defect,road_type,intersection_related,speed_limit,vehicle_type,vehicle_age,maintenance_required,failure_history,brake_condition,source
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,wet,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,unknown,,unknown,7,UNKNOWN,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,darkness,,wet,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,unknown,,unknown,12,UNKNOWN,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,daylight,,wet,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,darkness,,dry,16,STOP SIGN/FLASHER,,n,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,11,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,wet,8,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,dusk,,ice,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,9,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,dusk,,dry,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,dry,3,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,"darkness, lighted road",,wet,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,STOP SIGN/FLASHER,,n,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,22,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,21,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,unknown,7,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,dry,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,n,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,0,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,1,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,darkness,,wet,20,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,dawn,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,20,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,20,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,dusk,,wet,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,"darkness, lighted road",,wet,1,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,daylight,,wet,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,6,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,unknown,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,snow,"darkness, lighted road",,snow or slush,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,ice,7,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,unknown,,unknown,11,UNKNOWN,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,"darkness, lighted road",,unknown,23,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,6,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,snow,dawn,,snow or slush,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,"darkness, lighted road",,snow or slush,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,7,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,"darkness, lighted road",,unknown,23,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,NO CONTROLS,,n,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,"darkness, lighted road",,wet,3,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,"darkness, lighted road",,wet,5,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,dawn,,dry,6,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,9,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,11,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,22,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,6,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,darkness,,unknown,22,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,23,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,cloudy/overcast,daylight,,dry,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,dry,10,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,"darkness, lighted road",,wet,1,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,POLICE/FLAGMAN,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,unknown,"darkness, lighted road",,wet,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,20,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,unknown,22,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,snow,daylight,,snow or slush,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,20,TRAFFIC SIGNAL,,n,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,unknown,8,UNKNOWN,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,wet,22,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,12,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,13,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,dry,2,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,12,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,12,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,"darkness, lighted road",,wet,4,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,dusk,,dry,20,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,10,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,17,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,1,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,unknown,4,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,dry,4,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,dusk,,wet,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,12,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,unknown,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,unknown,,unknown,21,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,12,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,darkness,,dry,3,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,rain,"darkness, lighted road",,wet,22,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,unknown,unknown,,unknown,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,rain,daylight,,wet,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,cloudy/overcast,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,dry,5,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,dusk,,snow or slush,6,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,snow,daylight,,snow or slush,14,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,snow,daylight,,snow or slush,7,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,snow,"darkness, lighted road",,snow or slush,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,unknown,21,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,7,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,wet,9,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,"darkness, lighted road",,wet,0,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,11,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,22,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,clear,daylight,,dry,13,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,16,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,wet,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,darkness,,dry,17,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,"darkness, lighted road",,dry,19,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,unknown,,dry,11,NO CONTROLS,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,6,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,6,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,15,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,injury and / or tow due to crash,,,,snow,"darkness, lighted road",,snow or slush,21,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,dawn,,dry,18,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,cloudy/overcast,daylight,,dry,12,STOP SIGN/FLASHER,,y,,,,,,,dataset2_traffic_accidents
no indication of injury,0.0,no injury / drive away,,,,clear,daylight,,dry,8,TRAFFIC SIGNAL,,y,,,,,,,dataset2_traffic_accidents
